concept_id,concept_name,domain,code
1,Коронавирусная инфекция,Заболевание,U07
2,Лейкоциты,Измерение,892815
3,Фибриноген,Измерение,892813
4,Креатинин,Измерение,892814
5,Прокальцитонин,Измерение,892618
6,Дексаметазон,Препарат,592821
7,Бисопролол,Препарат,592827
8,Сахарный диабет,Заболевание,E11
9,Гепарин,Препарат,592825
10,Азитромицин,Препарат,592824
11,Цефтриаксон,Препарат,592822
12,Артериальная гипертензия,Заболевание,I10
13,Гемоглобин,Измерение,892816
14,СОЭ,Измерение,892819
15,Тромбоциты,Измерение,892817
16,Лимфоциты,Измерение,892820
17,Лизиноприл,Препарат,592826
18,Левофлоксацин,Препарат,592823
19,Аспирин,Препарат,592828
